D2;ActionState;timeScale;Frame;Time
D2;PREDRIVE;1;1;0
D2;PREDRIVE;1;2;0.02
D2;PREDRIVE;1;3;0.08835011
D2;PREDRIVE;1;4;0.1385275
D2;PREDRIVE;1;5;0.1471573
D2;PREDRIVE;1;6;0.1550854
D2;PREDRIVE;1;7;0.1632296
D2;PREDRIVE;1;8;0.1714634
D2;PREDRIVE;1;9;0.180031
D2;PREDRIVE;1;10;0.1880644
D2;PREDRIVE;1;11;0.1961632
D2;PREDRIVE;1;12;0.2050239
D2;PREDRIVE;1;13;0.2126297
D2;PREDRIVE;1;14;0.2209474
D2;PREDRIVE;1;15;0.2290962
D2;PREDRIVE;1;16;0.23733
D2;PREDRIVE;1;17;0.2458893
D2;PREDRIVE;1;18;0.2537974
D2;PREDRIVE;1;19;0.2620293
D2;PREDRIVE;1;20;0.2708604
D2;PREDRIVE;1;21;0.2787662
D2;PREDRIVE;1;22;0.2867704
D2;PREDRIVE;1;23;0.2957276
D2;PREDRIVE;1;24;0.3031962
D2;PREDRIVE;1;25;0.3117183
D2;PREDRIVE;1;26;0.3196822
D2;PREDRIVE;1;27;0.3278969
D2;PREDRIVE;1;28;0.3361302
D2;PREDRIVE;1;29;0.344632
D2;PREDRIVE;1;30;0.3525967
D2;PREDRIVE;1;31;0.36083
D2;PREDRIVE;1;32;0.3695094
D2;PREDRIVE;1;33;0.3775419
D2;PREDRIVE;1;34;0.3855298
D2;PREDRIVE;1;35;0.3937631
D2;PREDRIVE;1;36;0.4024587
D2;PREDRIVE;1;37;0.4102296
D2;PREDRIVE;1;38;0.4184629
D2;PREDRIVE;1;39;0.4273937
D2;PREDRIVE;1;40;0.4349294
D2;PREDRIVE;1;41;0.443345
D2;PREDRIVE;1;42;0.4513964
D2;PREDRIVE;1;43;0.4596306
D2;PREDRIVE;1;44;0.4682303
D2;PREDRIVE;1;45;0.4762085
D2;PREDRIVE;1;46;0.484329
D2;PREDRIVE;1;47;0.4925619
D2;PREDRIVE;1;48;0.5012079
D2;PREDRIVE;1;49;0.5091838
D2;PREDRIVE;1;50;0.5172626
D2;PREDRIVE;1;51;0.5254959
D2;PREDRIVE;1;52;0.5337287
D2;PREDRIVE;1;53;0.5420964
D2;PREDRIVE;1;54;0.5501962
D2;PREDRIVE;1;55;0.558428
D2;PREDRIVE;1;56;0.5679186
D2;PREDRIVE;1;57;0.5750564
D2;PREDRIVE;1;58;0.5831283
D2;PREDRIVE;1;59;0.591363
D2;PREDRIVE;1;60;0.5995967
D2;PREDRIVE;1;61;0.6079612
D2;PREDRIVE;1;62;0.6160628
D2;PREDRIVE;1;63;0.6249166
D2;PREDRIVE;1;64;0.6328637
D2;PREDRIVE;1;65;0.6408405
D2;PREDRIVE;1;66;0.6497755
D2;PREDRIVE;1;67;0.6572282
D2;PREDRIVE;1;68;0.6657713
D2;PREDRIVE;1;69;0.6737518
D2;PREDRIVE;1;70;0.6819294
D2;PREDRIVE;1;71;0.6901627
D2;PREDRIVE;1;72;0.6987275
D2;PREDRIVE;1;73;0.706696
D2;PREDRIVE;1;74;0.7148625
D2;PREDRIVE;1;75;0.7230963
D2;PREDRIVE;1;76;0.7315976
D2;PREDRIVE;1;77;0.7396106
D2;PREDRIVE;1;78;0.7477961
D2;PREDRIVE;1;79;0.7560294
D2;PREDRIVE;1;80;0.7645622
D2;PREDRIVE;1;81;0.7724963
D2;PREDRIVE;1;82;0.7807301
D2;PREDRIVE;1;83;0.7889634
D2;PREDRIVE;1;84;0.7974781
D2;PREDRIVE;1;85;0.8054392
D2;PREDRIVE;1;86;0.8136632
D2;PREDRIVE;1;87;0.8223764
D2;PREDRIVE;1;88;0.8303741
D2;PREDRIVE;1;89;0.838363
D2;PREDRIVE;1;90;0.8465958
D2;PREDRIVE;1;91;0.8552344
D2;PREDRIVE;1;92;0.8632075
D2;PREDRIVE;1;93;0.871296
D2;PREDRIVE;1;94;0.8795294
D2;PREDRIVE;1;95;0.8882139
D2;PREDRIVE;1;96;0.8961591
D2;PREDRIVE;1;97;0.9042296
D2;PREDRIVE;1;98;0.9124634
D2;PREDRIVE;1;99;0.9210815
D2;PREDRIVE;1;100;0.9290292
D2;PREDRIVE;1;101;0.9380555
D2;PREDRIVE;1;102;0.9453974
D2;PREDRIVE;1;103;0.954273
D2;PREDRIVE;1;104;0.9618635
D2;PREDRIVE;1;105;0.9702377
D2;PREDRIVE;1;106;0.97833
D2;PREDRIVE;1;107;0.9865633
D2;PREDRIVE;1;108;0.9951796
D2;PREDRIVE;1;109;1.003149
D2;PREDRIVE;1;110;1.011263
D2;PREDRIVE;1;111;1.019497
D2;PREDRIVE;1;112;1.028117
D2;PREDRIVE;1;113;1.036046
D2;PREDRIVE;1;114;1.044196
D2;PREDRIVE;1;115;1.05243
D2;PREDRIVE;1;116;1.060985
D2;PREDRIVE;1;117;1.068969
D2;PREDRIVE;1;118;1.077131
D2;PREDRIVE;1;119;1.085945
D2;PREDRIVE;1;120;1.093597
D2;PREDRIVE;1;121;1.101874
D2;PREDRIVE;1;122;1.110064
D2;PREDRIVE;1;123;1.118803
D2;PREDRIVE;1;124;1.126529
