D1;Distance;Position;Velocity;Frame;Time
D1; ; ; ;1;0
D1; ; ; ;2;0.02
D1; ; ; ;3;0.02543768
D1; ; ; ;4;0.07367183
D1; ; ; ;5;0.07752991
D1; ; ; ;6;0.08185966
D1; ; ; ;7;0.08982904
D1; ; ; ;8;0.09828352
D1; ; ; ;9;0.1064426
D1; ; ; ;10;0.1149319
D1; ; ; ;11;0.1233279
D1; ; ; ;12;0.1316618
D1; ; ; ;13;0.1400087
D1; ; ; ;14;0.1481529
D1; ; ; ;15;0.1566042
D1; ; ; ;16;0.1649167
D1; ; ; ;17;0.1730842
D1; ; ; ;18;0.1817394
D1; ; ; ;19;0.1897654
D1; ; ; ;20;0.1981072
D1; ; ; ;21;0.2065835
D1; ; ; ;22;0.2146642
D1; ; ; ;23;0.2230426
D1; ; ; ;24;0.231588
D1; ; ; ;25;0.2401853
D1; ; ; ;26;0.2480601
D1; ; ; ;27;0.2566333
D1; ; ; ;28;0.2648907
D1; ; ; ;29;0.2729978
D1; ; ; ;30;0.281526
D1; ; ; ;31;0.28982
D1; ; ; ;32;0.298147
D1; ; ; ;33;0.3065583
D1; ; ; ;34;0.3145699
D1; ; ; ;35;0.3230782
D1; ; ; ;36;0.3314019
D1; ; ; ;37;0.3396236
D1; ; ; ;38;0.3479552
D1; ; ; ;39;0.3562237
D1; ; ; ;40;0.3643628
D1; ; ; ;41;0.3727078
D1; ; ; ;42;0.3810241
D1; ; ; ;43;0.3895106
D1; ; ; ;44;0.3977875
D1; ; ; ;45;0.4060653
D1; ; ; ;46;0.4144247
D1; ; ; ;47;0.4228643
D1; ; ; ;48;0.4310276
D1; ; ; ;49;0.4394046
D1; ; ; ;50;0.4478507
D1; ; ; ;51;0.456052
D1; ; ; ;52;0.4646169
D1; ; ; ;53;0.4728037
D1; ; ; ;54;0.4811006
D1; ; ; ;55;0.4894641
D1; ; ; ;56;0.4980369
D1; ; ; ;57;0.5060759
D1; ; ; ;58;0.5142952
D1; ; ; ;59;0.522624
D1; ; ; ;60;0.530962
D1; ; ; ;61;0.5393577
D1; ; ; ;62;0.547731
D1; ; ; ;63;0.5560144
D1; ; ; ;64;0.5645708
D1; ; ; ;65;0.5728403
D1; ; ; ;66;0.580921
D1; ; ; ;67;0.5900266
D1; ; ; ;68;0.597644
D1; ; ; ;69;0.6062306
D1; ; ; ;70;0.6142464
D1; ; ; ;71;0.6235088
D1; ; ; ;72;0.630802
D1; ; ; ;73;0.6392115
D1; ; ; ;74;0.6475482
D1; ; ; ;75;0.6558686
D1; ; ; ;76;0.6641446
D1; ; ; ;77;0.6724952
D1; ; ; ;78;0.6808708
D1; ; ; ;79;0.6891662
D1; ; ; ;80;0.6975117
D1; ; ; ;81;0.7059054
D1; ; ; ;82;0.7141396
D1; ; ; ;83;0.7224879
D1; ; ; ;84;0.7307555
D1; ; ; ;85;0.7390523
D1; ; ; ;86;0.7476891
D1; ; ; ;87;0.7557299
D1; ; ; ;88;0.7640995
D1; ; ; ;89;0.772458
D1; ; ; ;90;0.780727
D1; ; ; ;91;0.7897663
D1; ; ; ;92;0.7975144
D1; ; ; ;93;0.8057463
D1; ; ; ;94;0.8140867
D1; ; ; ;95;0.8223464
D1; ; ; ;96;0.8306381
D1; ; ; ;97;0.8391134
D1; ; ; ;98;0.8473486
D1; ; ; ;99;0.8556839
D1; ; ; ;100;0.8641129
D1; ; ; ;101;0.8723516
D1; ; ; ;102;0.8807598
D1; ; ; ;103;0.8890946
D1; ; ; ;104;0.8973738
D1; ; ; ;105;0.9056108
D1; ; ; ;106;0.9139716
D1; ; ; ;107;0.9224131
D1; ; ; ;108;0.9305235
D1; ; ; ;109;0.9390285
D1; ; ; ;110;0.9472873
D1; ; ; ;111;0.9555998
D1; ; ; ;112;0.963904
D1; ; ; ;113;0.9722245
D1; ; ; ;114;0.9805955
D1; ; ; ;115;0.9888808
D1; ; ; ;116;0.9972211
D1; ; ; ;117;1.00552
D1; ; ; ;118;1.01392
D1; ; ; ;119;1.022245
D1; ; ; ;120;1.030632
D1; ; ; ;121;1.038857
D1; ; ; ;122;1.047382
D1; ; ; ;123;1.056393
D1; ; ; ;124;1.063847
D1; ; ; ;125;1.072563
D1; ; ; ;126;1.080449
D1; ; ; ;127;1.088777
D1; ; ; ;128;1.097092
D1; ; ; ;129;1.105462
D1; ; ; ;130;1.113799
D1; ; ; ;131;1.122052
D1; ; ; ;132;1.130479
D1; ; ; ;133;1.138845
D1; ; ; ;134;1.147073
D1; ; ; ;135;1.155411
D1; ; ; ;136;1.163667
D1; ; ; ;137;1.172016
D1; ; ; ;138;1.180617
D1; ; ; ;139;1.188662
D1; ; ; ;140;1.197509
D1; ; ; ;141;1.205405
D1; ; ; ;142;1.214143
D1; ; ; ;143;1.222079
D1; ; ; ;144;1.230457
D1; ; ; ;145;1.238669
D1; ; ; ;146;1.247013
D1; ; ; ;147;1.255329
D1; ; ; ;148;1.264042
D1; ; ; ;149;1.271962
D1; ; ; ;150;1.280278
D1; ; ; ;151;1.288642
D1; ; ; ;152;1.29721
D1; ; ; ;153;1.305298
D1; ; ; ;154;1.31363
D1; ; ; ;155;1.321932
D1; ; ; ;156;1.330219
D1; ; ; ;157;1.338624
D1; ; ; ;158;1.346871
D1; ; ; ;159;1.355251
D1; ; ; ;160;1.363614
D1; ; ; ;161;1.372222
D1; ; ; ;162;1.380241
D1; ; ; ;163;1.388541
D1; ; ; ;164;1.396928
D1; ; ; ;165;1.405257
D1; ; ; ;166;1.413475
D1; ; ; ;167;1.422234
D1; ; ; ;168;1.430167
D1; ; ; ;169;1.438465
D1; ; ; ;170;1.44683
D1; ; ; ;171;1.455212
D1; ; ; ;172;1.463457
D1; ; ; ;173;1.471839
D1; ; ; ;174;1.480236
D1; ; ; ;175;1.488472
D1; ; ; ;176;1.496872
D1; ; ; ;177;1.505278
D1; ; ; ;178;1.513502
D1; ; ; ;179;1.521857
D1; ; ; ;180;1.530122
D1; ; ; ;181;1.538526
D1; ; ; ;182;1.546787
D1; ; ; ;183;1.555811
D1; ; ; ;184;1.563443
D1; ; ; ;185;1.572241
D1; ; ; ;186;1.580031
